okr;nrk;komitet;kandydat;glosy;procent;lprocent;wynik;plec
1;8;PiS;BABUŚKA Adam;3361;0.78;1.83;N;M
1;9;PiS;RYPIŃSKI Józef;3167;0.73;1.73;N;M
1;10;PiS;POGODA Szymon Marek;4876;1.13;2.66;N;M
1;11;PiS;MARCINIAK Wojciech;3293;0.76;1.80;N;M
1;12;PiS;KARWAN Jacek;3161;0.73;1.72;N;M
1;13;PiS;KREDKOWSKI Andrzej;2978;0.69;1.62;N;M
1;14;PiS;BUCIUTO Jadwiga Barbara;1327;0.31;0.72;N;K
1;15;PiS;GĘBORYS Dagmara Helena;818;0.19;0.45;N;K
1;16;PiS;BRZOZOWSKA Kamila Dorota;1427;0.33;0.78;N;K
1;17;PiS;BADZIŃSKA Agnieszka Ewa;741;0.17;0.40;N;K
1;18;PiS;SADOWSKA-KOWALSKA Aurelia Barbara;723;0.17;0.39;N;K
1;19;PiS;CZYRKO Eurydyka Maria;734;0.17;0.40;N;K
1;20;PiS;KWIATKOWSKA Ewa;1553;0.36;0.85;N;K
1;21;PiS;URBANOWICZ Łukasz Franciszek;530;0.12;0.29;N;M
1;22;PiS;SARBAK Dawid Łukasz;352;0.08;0.19;N;M
1;23;PiS;BOJAKOWSKA Dorota;1787;0.41;0.97;N;K
1;24;PiS;LESZCZYK Wojciech Paweł;1699;0.39;0.93;N;M
1;1;SLD;SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena;41480;9.59;58.37;T;K
1;2;SLD;OBAZ Robert Marcin;4205;0.97;5.92;T;M
1;3;SLD;FILACZYŃSKA Kaja;4045;0.94;5.69;N;K
1;4;SLD;ZBRZYZNY Ryszard;4107;0.95;5.78;N;M
1;5;SLD;PIĄTEK Damian;3196;0.74;4.50;N;M
1;6;SLD;BURAKOWSKA Krystyna Anna;588;0.14;0.83;N;K
1;7;SLD;PACZÓSKI Piotr Jerzy;1919;0.44;2.70;N;M
1;8;SLD;ORZECHOWSKA Joanna Magdalena;1216;0.28;1.71;N;K
1;9;SLD;GRYĆ Paweł;473;0.11;0.67;N;M
1;10;SLD;MIARA Rafał;1399;0.32;1.97;N;M
1;11;SLD;JANKOWSKA Magdalena;916;0.21;1.29;N;K
1;12;SLD;KRÓLEWIECKA-WALA Dominika;476;0.11;0.67;N;K
1;13;SLD;MAJEWICZ Przemysław Mikołaj;392;0.09;0.55;N;M
1;14;SLD;BIDNYK Mikołaj Adam;411;0.10;0.58;N;M
1;15;SLD;KOHLMAN Piotr Rafał;296;0.07;0.42;N;M
1;16;SLD;GŁUSZKO Rafał Krzysztof;827;0.19;1.16;N;M
1;17;SLD;BACZMAŃSKI Paweł Adam;730;0.17;1.03;N;M
1;18;SLD;PŁANETA-SIEWIERSKA Edyta Katarzyna;803;0.19;1.13;N;K
1;19;SLD;GRZYB Leszek Kazimierz;574;0.13;0.81;N;M
1;20;SLD;RAKSZEWSKA Alicja;361;0.08;0.51;N;K
1;21;SLD;JÓŹWIK Magdalena;352;0.08;0.50;N;K
1;22;SLD;BRYCZKOWSKA Inez Jolanta;457;0.11;0.64;N;K
1;23;SLD;KOKO Daniel Radosław;1028;0.24;1.45;N;M
1;24;SLD;GADEK Sławomir Adam;810;0.19;1.14;N;M
1;1;PO;BORYS Piotr;35064;8.11;32.41;T;M
1;2;PO;CZERNOW Zofia;15761;3.64;14.57;T;K
1;3;PO;KROPIWNICKI Robert;14714;3.40;13.60;T;M
1;4;PO;KRAWCZYK Iwona Małgorzata;8081;1.87;7.47;N;K
1;5;PO;DROZD Ewa;9671;2.24;8.94;N;K
1;6;PO;DUDKOWIAK Jarosław Ryszard;2226;0.51;2.06;N;M
1;7;PO;BARANOWSKA Dorota;5003;1.16;4.62;N;K
1;8;PO;BANDER Michał;1875;0.43;1.73;N;M
1;9;PO;SIKORA Konrad Jerzy;3843;0.89;3.55;N;M
1;10;PO;ROWIŃSKI Konrad Antoni;2118;0.49;1.96;N;M
1;11;PO;PICHAŁA Anna Eugenia;843;0.19;0.78;N;K
1;12;PO;DOWHAŃ-DOMAŃSKA Ksenia Anna;889;0.21;0.82;N;K
1;13;PO;ROLSKA Beata Edyta;785;0.18;0.73;N;K
1;14;PO;GRZEŚKÓW Zbigniew;630;0.15;0.58;N;M
1;15;PO;BARCIK Krystyna Henryka;853;0.20;0.79;N;K
1;16;PO;MAGRYŚ Urszula;551;0.13;0.51;N;K
1;17;PO;JAGIEŁŁO Jakub Krzysztof;1128;0.26;1.04;N;M
1;18;PO;SKÓRZEWSKA Barbara Anna;327;0.08;0.30;N;K
1;19;PO;STRĄCZEK Joanna Dorota;404;0.09;0.37;N;K
1;20;PO;SURWIŁO Małgorzata Joanna;433;0.10;0.40;N;K
1;21;PO;BROK Anna;548;0.13;0.51;N;K
1;22;PO;ZIELIŃSKI Grzegorz;737;0.17;0.68;N;M
1;23;PO;GRAF Mirosław;831;0.19;0.77;N;M
1;24;PO;BARTKOWIAK Włodzimierz;876;0.20;0.81;N;M
2;1;PSL;GANCARZ Paweł Jarosław;7615;2.69;37.10;N;M
2;2;PSL;KOŁT Józef;1327;0.47;6.46;N;M
2;3;PSL;KWIATKOWSKA Ewa Daniela;1214;0.43;5.91;N;K
2;4;PSL;KUCZEK Magdalena Dorota;715;0.25;3.48;N;K
2;5;PSL;RUDNICKI Jarosław Jerzy;3194;1.13;15.56;N;M
2;6;PSL;BONIECKA Joanna Bogna;730;0.26;3.56;N;K
2;7;PSL;SOKOŁOWSKA Maria;709;0.25;3.45;N;K
2;8;PSL;DZIENDZIEL Wacław Alojzy;570;0.20;2.78;N;M
2;9;PSL;MAZUR Paweł Mariusz;961;0.34;4.68;N;M
2;10;PSL;UBIK Jarosław Marian;404;0.14;1.97;N;M
2;11;PSL;WIERZBICKA-BARA Danuta Maria;501;0.18;2.44;N;K
2;12;PSL;KOWALSKA Sylwia Edyta;345;0.12;1.68;N;K
2;13;PSL;KARCH Izabela Maria;354;0.13;1.72;N;K
2;14;PSL;SULIKOWSKA Natalia Weronika;331;0.12;1.61;N;K
2;15;PSL;KYCIA Radosław;165;0.06;0.80;N;M
2;16;PSL;LONGAWA Stanisław Tadeusz;1393;0.49;6.79;N;M
2;1;PiS;DWORCZYK Michał Paweł;58426;20.65;50.93;T;M
2;2;PiS;ZYSKA Ireneusz;10688;3.78;9.32;T;M
2;3;PiS;MURDZEK Wojciech Piotr;6354;2.25;5.54;T;M
2;4;PiS;BADORA Maciej Adam;3683;1.30;3.21;N;M
2;5;PiS;GWÓŹDŹ Marcin Piotr;8049;2.84;7.02;T;M
2;6;PiS;BIELAWSKA Zuzanna;3561;1.26;3.10;N;K
2;7;PiS;SURMA Renata Lucyna;3931;1.39;3.43;N;K
2;8;PiS;MUCHA Beata Maria;2696;0.95;2.35;N;K
2;9;PiS;DEC Jerzy Grzegorz;2834;1.00;2.47;N;M
2;10;PiS;WĘGŁOWSKI Jarosław;978;0.35;0.85;N;M
2;11;PiS;SZPYTMA Bogusław Krzysztof;1505;0.53;1.31;N;M
2;12;PiS;GREINER Małgorzata Joanna;1647;0.58;1.44;N;K
2;13;PiS;TARNACKI Marek;964;0.34;0.84;N;M
2;14;PiS;SZYDŁOWSKA Ewelina Agnieszka;1819;0.64;1.59;N;K
2;15;PiS;WIERZBICKA Renata Teresa;3425;1.21;2.99;N;K
2;16;PiS;GRZEGORZEWICZ Grzegorz Sławomir;4168;1.47;3.63;N;M
2;1;SLD;DYDUCH Marek;14451;5.11;41.34;T;M
2;2;SLD;KOTARBA Mariusz;6393;2.26;18.29;N;M
2;3;SLD;LECH Kornelia Joanna;3390;1.20;9.70;N;K
2;4;SLD;ŁĄCKI Adam Edward;2434;0.86;6.96;N;M
2;5;SLD;MUSIAŁEK Małgorzata Aleksandra;1334;0.47;3.82;N;K
2;6;SLD;ZALEŃSKI Wiktor Piotr;660;0.23;1.89;N;M
2;7;SLD;CHOJNACKA Cecylia Agnieszka;1143;0.40;3.27;N;K
2;8;SLD;WOLAK Tomasz Paweł;652;0.23;1.87;N;M
2;9;SLD;CHUĆ Renata;420;0.15;1.20;N;K
2;10;SLD;SŁABICKA Jolanta Izabela;755;0.27;2.16;N;K
2;11;SLD;HABIERA-GÓRSKA Agnieszka Beata;358;0.13;1.02;N;K
2;12;SLD;HÜPNER Dominik;216;0.08;0.62;N;M
2;13;SLD;CZAJKOWSKI Robert Aleksy;843;0.30;2.41;N;M
2;14;SLD;SOŁTYSIK Janusz Tomasz;300;0.11;0.86;N;M
2;15;SLD;ZABORONEK Maciej Grzegorz;318;0.11;0.91;N;M
2;16;SLD;STABROWSKA Anna Ewa;1290;0.46;3.69;N;K
2;1;PO;SIEMONIAK Tomasz;45395;16.04;49.99;T;M
2;2;PO;MRZYGŁOCKA Izabela Katarzyna;11987;4.24;13.20;T;K
2;3;PO;WIELICHOWSKA Monika;15399;5.44;16.96;T;K
2;4;PO;SZUSZWALAK Tomasz Daniel;1182;0.42;1.30;N;M
2;5;PO;MITRASZEWSKI Tomasz Łukasz;4137;1.46;4.56;N;M
2;6;PO;ŚWIŁO Teresa;2085;0.74;2.30;N;K
2;7;PO;GLAPIŃSKI Rafał Mariusz;1677;0.59;1.85;N;M
2;8;PO;INGLOT Andrzej Ryszard;744;0.26;0.82;N;M
2;9;PO;ROSIAK Mateusz;1322;0.47;1.46;N;M
2;10;PO;ONYŚKÓW Paweł;2219;0.78;2.44;N;M
2;11;PO;SZCZYGIEŁ Zbigniew;916;0.32;1.01;N;M
2;12;PO;ŚWIERCZYŃSKI Jędrzej Maciej;445;0.16;0.49;N;M
2;13;PO;BEŚLERZEWSKA Małgorzata Urszula;645;0.23;0.71;N;K
2;14;PO;IWANCZ Jacek Julian;1614;0.57;1.78;N;M
2;15;PO;BEN AMARA Joanna Maria;320;0.11;0.35;N;K
2;16;PO;TUMIDALSKA Marta Magdalena;725;0.26;0.80;N;K
3;1;PSL;PROTASIEWICZ Jacek;17618;2.69;41.68;T;M
3;2;PSL;ZEGAN Maciej Adam;2655;0.41;6.28;N;M
3;3;PSL;BRONOWICKA Joanna Barbara;3712;0.57;8.78;N;K
3;4;PSL;DUDA Grzegorz Tomasz;2592;0.40;6.13;N;M
3;5;PSL;SOCHA Jan;907;0.14;2.15;N;M
3;6;PSL;MALEC Tomasz Stanisław;861;0.13;2.04;N;M
3;7;PSL;LECH Ryszard;1289;0.20;3.05;N;M
3;8;PSL;SZYDEŁKO Witold;1090;0.17;2.58;N;M
3;9;PSL;LITWIN Ewa Grażyna;1059;0.16;2.51;N;K
3;10;PSL;KURYŚ Hieronim Stanisław;1184;0.18;2.80;N;M
3;11;PSL;WARCHOLIŃSKI Marek;1280;0.20;3.03;N;M
3;12;PSL;KWIATKOWSKA-KORCZAK Janina;540;0.08;1.28;N;K
3;13;PSL;KUCHARSKA Aleksandra Anna;715;0.11;1.69;N;K
3;14;PSL;KUŹMICZ Łukasz Maciej;1147;0.18;2.71;N;M
3;15;PSL;GROCHOLSKI Bartosz Krystian;385;0.06;0.91;N;M
3;16;PSL;MACAŁA Łukasz Michał;340;0.05;0.80;N;M
3;17;PSL;SZULC Joanna Alicja;611;0.09;1.45;N;K
3;18;PSL;FURDYNA Jolanta Stanisława;163;0.02;0.39;N;K
3;19;PSL;ZALEWSKI Karol Henryk;542;0.08;1.28;N;M
3;20;PSL;BUBNICKA Barbara Maria;174;0.03;0.41;N;K
3;21;PSL;KOWALSKI Arkadiusz Rafał;377;0.06;0.89;N;M
3;22;PSL;MAJOCHA Elżbieta Marta;158;0.02;0.37;N;K
3;23;PSL;SOŁTYS Jacek Jan;327;0.05;0.77;N;M
3;24;PSL;ADAMCZYK-POGORZELEC Bożena Maria;165;0.03;0.39;N;K
3;25;PSL;BARTOSZEWICZ Urszula Agnieszka;308;0.05;0.73;N;K
3;26;PSL;PAWNUK Emilia Maria;344;0.05;0.81;N;K
3;27;PSL;MRÓZ-MOŻDŻONEK Joanna Róża;394;0.06;0.93;N;K
3;28;PSL;ŁOPATKA Mirosław Mieczysław;1332;0.20;3.15;N;M
3;1;PiS;STACHOWIAK-RÓŻECKA Mirosława Agnieszka;91236;13.94;40.21;T;K
3;2;PiS;HRENIAK Paweł Marek;15166;2.32;6.68;T;M
3;3;PiS;ŚWIAT Jacek;15537;2.37;6.85;T;M
3;4;PiS;CZARNECKI Przemysław Maksymilian;19413;2.97;8.56;T;M
3;5;PiS;CALIŃSKA-MAYER Małgorzata Maria;6342;0.97;2.79;N;K
3;6;PiS;JAROCH Andrzej Stanisław;3799;0.58;1.67;N;M
3;7;PiS;JĘDRYSEK Mariusz Orion;12857;1.96;5.67;N;M
3;8;PiS;SOIN Agnieszka Anna;14716;2.25;6.49;T;K
3;9;PiS;DYTKO Piotr Jan;7863;1.20;3.47;N;M
3;10;PiS;ADAMSKI Artur;3003;0.46;1.32;N;M
3;11;PiS;BREZDEŃ Zdzisław Ireneusz;6300;0.96;2.78;N;M
3;12;PiS;BARTNIK Wojciech Stanisław;6512;1.00;2.87;N;M
3;13;PiS;DOMAGAŁA Krzysztof Marek;2844;0.43;1.25;N;M
3;14;PiS;KOWALCZYK Roman;2219;0.34;0.98;N;M
3;15;PiS;PIEŃKOWSKI Robert;977;0.15;0.43;N;M
3;16;PiS;STOPA Urszula Maria;1060;0.16;0.47;N;K
3;17;PiS;ZAJĄC Wiesław Antoni;1414;0.22;0.62;N;M
3;18;PiS;BRZĄKAŁA Agnieszka Maria;912;0.14;0.40;N;K
3;19;PiS;WAWRZYNIAK Adrian Sławomir;1979;0.30;0.87;N;M
3;20;PiS;WOJEWÓDKA Karolina;1160;0.18;0.51;N;K
3;21;PiS;PIECHEL Michał;493;0.08;0.22;N;M
3;22;PiS;STRUMECKA Marzanna Teresa;444;0.07;0.20;N;K
3;23;PiS;LESZCZYŃSKA-NER Zofia Maria;762;0.12;0.34;N;K
3;24;PiS;HARASNY Marek;536;0.08;0.24;N;M
3;25;PiS;MAKSYMIAK Magdalena Maria;1110;0.17;0.49;N;K
3;26;PiS;MROZOWSKA Karolina Marta;890;0.14;0.39;N;K
3;27;PiS;KEMPA Cezary Piotr;2923;0.45;1.29;N;M
3;28;PiS;CZARTORYSKI Tytus Henryk;4448;0.68;1.96;N;M
3;1;SLD;ŚMISZEK Krzysztof Jan;43447;6.64;43.08;T;M
3;2;SLD;STOŻEK Marta Magdalena;10212;1.56;10.13;N;K
3;3;SLD;SIKORA Arkadiusz;8510;1.30;8.44;N;M
3;4;SLD;LUBINIECKA-RÓŻYŁO Katarzyna Elżbieta;6534;1.00;6.48;N;K
3;5;SLD;AUGUSTYŃSKI Iwo Piotr;1651;0.25;1.64;N;M
3;6;SLD;JOKS Marlena Ewa;1103;0.17;1.09;N;K
3;7;SLD;KOZDROWICKI Piotr Sebastian;1222;0.19;1.21;N;M
3;8;SLD;ŁAGOWSKA Anna Katarzyna;1402;0.21;1.39;N;K
3;9;SLD;ELSNER Wincenty Aleksander;1157;0.18;1.15;N;M
3;10;SLD;PILNY Maciej;1561;0.24;1.55;N;M
3;11;SLD;GAJDZIŃSKA Anna;873;0.13;0.87;N;K
3;12;SLD;WICHA Stanisław;587;0.09;0.58;N;M
3;13;SLD;MAŚLAK Robert;1888;0.29;1.87;N;M
3;14;SLD;DĄBROWSKA Katarzyna;1019;0.16;1.01;N;K
3;15;SLD;ŚMIAŁEK Danuta Maria;985;0.15;0.98;N;K
3;16;SLD;TERPIŁOWSKA Irena Róża;398;0.06;0.39;N;K
3;17;SLD;MINCER Tadeusz Albert;289;0.04;0.29;N;M
3;18;SLD;KORDEK-CHMIELEWSKA Agnieszka Katarzyna;598;0.09;0.59;N;K
3;19;SLD;OLIK Waldemar Antoni;293;0.04;0.29;N;M
3;20;SLD;CHŁÓDEK Agnieszka Barbara;440;0.07;0.44;N;K
3;21;SLD;MARKOWSKI Krzysztof;371;0.06;0.37;N;M
3;22;SLD;HODOWANY Andrzej Jerzy;288;0.04;0.29;N;M
3;23;SLD;NIEMIEC Jan Mateusz;390;0.06;0.39;N;M
3;24;SLD;BANACH Maria Teresa;592;0.09;0.59;N;K
3;25;SLD;WARZYCHA Małgorzata Danuta;371;0.06;0.37;N;K
3;26;SLD;PELWECKI Mateusz Dariusz;114;0.02;0.11;N;M
3;27;SLD;BOBIŃSKI Grzegorz Paweł;291;0.04;0.29;N;M
3;28;SLD;DZIEMIANOWICZ-BĄK Agnieszka Ewa;14257;2.18;14.14;T;K
3;1;PO;SCHETYNA Grzegorz Juliusz;66859;10.22;31.15;T;M
3;2;PO;TRACZ Małgorzata Elżbieta;28676;4.38;13.36;T;K
3;3;PO;JAROS Michał;30196;4.61;14.07;T;M
3;4;PO;PIECHOTA Sławomir Jan;14844;2.27;6.92;T;M
3;5;PO;MŁYŃCZAK Aldona Janina;10342;1.58;4.82;N;K
3;6;PO;AUGUSTYNOWSKA Joanna Wiktoria;10804;1.65;5.03;N;K
3;7;PO;MIESZKOWSKI Krzysztof;13814;2.11;6.44;T;M
3;8;PO;HORODYSKA Anna Maria;5501;0.84;2.56;N;K
3;9;PO;WÓJCIK Krystyna;2398;0.37;1.12;N;K
3;10;PO;GÓRSKI Michał Jakub;5980;0.91;2.79;N;M
3;11;PO;ŻMIEJEWSKI Zdzisław Michał;1568;0.24;0.73;N;M
3;12;PO;ADAMCZAK Wojciech;1336;0.20;0.62;N;M
3;13;PO;LESZCZYŃSKA Anna Maria;3576;0.55;1.67;N;K
3;14;PO;POLAŃSKI Jarosław;2231;0.34;1.04;N;M
3;15;PO;BURDZY Sebastian Robert;1512;0.23;0.70;N;M
3;16;PO;MĘDYGRAŁ Kacper Jan;1011;0.15;0.47;N;M
3;17;PO;SIERPIŃSKI Marek Rafał;726;0.11;0.34;N;M
3;18;PO;ZALEWSKI Marek Krzysztof;1421;0.22;0.66;N;M
3;19;PO;STASZEWSKI Waldemar Zbigniew;407;0.06;0.19;N;M
3;20;PO;MOŁOŃ Radosław Tomasz;318;0.05;0.15;N;M
3;21;PO;SOBOLAK Anna Helena;2611;0.40;1.22;N;K
3;22;PO;MAKÓWKA Jacek Edward;231;0.04;0.11;N;M
3;23;PO;PIWKO Katarzyna Anna;2772;0.42;1.29;N;K
3;24;PO;STANIÓW Katarzyna;347;0.05;0.16;N;K
3;25;PO;ZELINKA Ryszard Julian;812;0.12;0.38;N;M
3;26;PO;KROPSKI Łukasz;665;0.10;0.31;N;M
3;27;PO;GILAR Daria;573;0.09;0.27;N;K
3;28;PO;ŁAPIŃSKI Marek;3098;0.47;1.44;N;M
4;1;PSL;KURZAWA Dariusz;17648;3.84;42.53;T;M
4;2;PSL;SIKORA Krzysztof Gustaw;2768;0.60;6.67;N;M
4;3;PSL;ŚMIGIELSKA Klaudia;2583;0.56;6.22;N;K
4;4;PSL;KOZŁOWSKA Zofia Władysława;2604;0.57;6.28;N;K
4;5;PSL;NAWROT Jadwiga Władysława;785;0.17;1.89;N;K
4;6;PSL;BIERNACKI Jan Kazimierz;1325;0.29;3.19;N;M
4;7;PSL;KOSZOWSKI Franciszek;1789;0.39;4.31;N;M
4;8;PSL;ANKIEWICZ-JASIŃSKA Ewa Teresa;468;0.10;1.13;N;K
4;9;PSL;KAPUSTA Zbigniew Piotr;952;0.21;2.29;N;M
4;10;PSL;MIŁOWSKI Tomasz Edmund;1117;0.24;2.69;N;M
4;11;PSL;SOBIECHOWSKA Hanna Jadwiga;633;0.14;1.53;N;K
4;12;PSL;PAZDERSKA Aleksandra Beata;455;0.10;1.10;N;K
4;13;PSL;RÓŻAŃSKI Krzysztof Janusz;549;0.12;1.32;N;M
4;14;PSL;BAGNEROWSKI Tomasz;671;0.15;1.62;N;M
4;15;PSL;SANKOWSKI Paweł Maksymilian;542;0.12;1.31;N;M
4;16;PSL;STANEK Aleksandra Maria;544;0.12;1.31;N;K
4;17;PSL;URBAŃSKI Łukasz Cyprian;434;0.09;1.05;N;M
4;18;PSL;PROCHOWNIK Wiesława Stanisława;383;0.08;0.92;N;K
4;19;PSL;ROWIŃSKI Grzegorz Czesław;186;0.04;0.45;N;M
4;20;PSL;PAWLINA Henryk;439;0.10;1.06;N;M
4;21;PSL;SŁOMA Jarosław Jan;886;0.19;2.14;N;M
4;22;PSL;ŁĄCZNA Kamila Tatiana;436;0.09;1.05;N;K
4;23;PSL;SUPERCZYŃSKI Jacek;931;0.20;2.24;N;M
4;24;PSL;MES Ewa Monika;2369;0.52;5.71;N;K
4;1;PiS;LATOS Tomasz Edward;60132;13.07;35.89;T;M
4;2;PiS;SCHREIBER Łukasz Paweł;30053;6.53;17.94;T;M
4;3;PiS;KRÓL Piotr Marek;10418;2.26;6.22;T;M
4;4;PiS;KOWNACKI Bartosz Józef;12414;2.70;7.41;T;M
4;5;PiS;KOZANECKA Ewa Elżbieta;13305;2.89;7.94;T;K
4;6;PiS;WITKOWSKI Marek Leon;2514;0.55;1.50;N;M
4;7;PiS;WROŃSKI Marcin;6469;1.41;3.86;N;M
4;8;PiS;STACHOWIAK Ireneusz;9432;2.05;5.63;N;M
4;9;PiS;KOWALIK Jerzy;2550;0.55;1.52;N;M
4;10;PiS;KRZEMKOWSKI Michał;1285;0.28;0.77;N;M
4;11;PiS;SZABELSKA Grażyna Edyta;3645;0.79;2.18;N;K
4;12;PiS;FALKOWSKA Anna;1795;0.39;1.07;N;K
4;13;PiS;SZAMOCKI Tomasz Paweł;1547;0.34;0.92;N;M
4;14;PiS;KOŁODZIEJ Jolanta;1160;0.25;0.69;N;K
4;15;PiS;GOGOLA Elżbieta;1201;0.26;0.72;N;K
4;16;PiS;NAPIERALSKI Krzysztof;964;0.21;0.58;N;M
4;17;PiS;KUFFEL Stanisława;834;0.18;0.50;N;K
4;18;PiS;JABŁOŃSKA Kamila Teresa;797;0.17;0.48;N;K
4;19;PiS;LEWANDOWSKI Antoni;1027;0.22;0.61;N;M
4;20;PiS;WENDERLICH Paulina;2224;0.48;1.33;N;K
4;21;PiS;PILARSKA Danuta Stanisława;814;0.18;0.49;N;K
4;22;PiS;ŚRUBKOWSKA Żaneta Katarzyna;318;0.07;0.19;N;K
4;23;PiS;WARDA Maria Alina;1093;0.24;0.65;N;K
4;24;PiS;CIESIELCZYK Dariusz;1559;0.34;0.93;N;M
4;1;SLD;GAWKOWSKI Krzysztof Kamil;30859;6.71;44.23;T;M
4;2;SLD;SZOPIŃSKI Jan Józef;11821;2.57;16.94;T;M
4;3;SLD;WYSOCKI Michał;3378;0.73;4.84;N;M
4;4;SLD;NOWAK Izabela Anna;4266;0.93;6.11;N;K
4;5;SLD;LUDWISIAK-KAWECKA Anna Magdalena;1349;0.29;1.93;N;K
4;6;SLD;JELENIEWSKI Marek Krzysztof;5676;1.23;8.14;N;M
4;7;SLD;KOŃCZAK Danuta Elżbieta;1100;0.24;1.58;N;K
4;8;SLD;SKAŁECKI Damian Adam;677;0.15;0.97;N;M
4;9;SLD;KOZŁOWSKA Karolina;2451;0.53;3.51;N;K
4;10;SLD;BIRSKA Magdalena;760;0.17;1.09;N;K
4;11;SLD;BUDZIŃSKA Elżbieta Maria;843;0.18;1.21;N;K
4;12;SLD;GINTER Sławomir Ryszard;624;0.14;0.89;N;M
4;13;SLD;SMOLAGA Aleksandra Justyna;523;0.11;0.75;N;K
4;14;SLD;MENARD Wiesław Tadeusz;459;0.10;0.66;N;M
4;15;SLD;OSUCH Katarzyna Anna;656;0.14;0.94;N;K
4;16;SLD;WARSICKA Teresa;270;0.06;0.39;N;K
4;17;SLD;FRĘŚ Mateusz;210;0.05;0.30;N;M
4;18;SLD;PIASKOWSKA Joanna Zuzanna;661;0.14;0.95;N;K
4;19;SLD;JAROSZ Piotr;466;0.10;0.67;N;M
4;20;SLD;GRUPA Artur;242;0.05;0.35;N;M
4;21;SLD;SKAJA Sebastian;705;0.15;1.01;N;M
4;22;SLD;PISAREK Michał Mateusz;513;0.11;0.74;N;M
4;23;SLD;KRZESIŃSKI Tomasz;1254;0.27;1.80;N;M
4;1;PO;ZWIEFKA Tadeusz Antoni;39984;8.69;27.99;T;M
4;2;PO;OLSZEWSKI Paweł Bartosz;35762;7.77;25.04;T;M
4;3;PO;KOZŁOWSKA Iwona Maria;9325;2.03;6.53;T;K
4;4;PO;NITKIEWICZ Ireneusz Michał;6378;1.39;4.47;N;M
4;5;PO;ŁOŚKO Magdalena;14407;3.13;10.09;T;K
4;6;PO;STASIŃSKI Michał Józef;4559;0.99;3.19;N;M
4;7;PO;POGODA Tadeusz Grzegorz;8388;1.82;5.87;N;M
4;8;PO;MIKOŁAJCZAK Marian Marek;1581;0.34;1.11;N;M
4;9;PO;BRZEZIŃSKA Olga;4125;0.90;2.89;N;K
4;10;PO;KRÓLEWICZ Mirosław;615;0.13;0.43;N;M
4;11;PO;MŁODECKI Juliusz Jakub;473;0.10;0.33;N;M
4;12;PO;BARANOWSKI Robert Rafał;603;0.13;0.42;N;M
4;13;PO;GLISZCZYŃSKI Stanisław;2076;0.45;1.45;N;M
4;14;PO;AL-SHAER Bashar;1503;0.33;1.05;N;M
4;15;PO;PIETRYGA Nicole Weronika;277;0.06;0.19;N;K
4;16;PO;KATULSKI Jarosław Paweł;1469;0.32;1.03;N;M
4;17;PO;BIELIŃSKA Monika Julia;387;0.08;0.27;N;K
4;18;PO;POPA Paulina Barbara;391;0.09;0.27;N;K
4;19;PO;WOŹNIAK Danuta Maria;393;0.09;0.28;N;K
4;20;PO;WĄDOŁOWSKI Dariusz Józef;650;0.14;0.46;N;M
