okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
2;11;SLD;Dorosz Ewa Anna;692;0.31;3.43;N;K
2;12;SLD;Świątek Józef Jan;200;0.09;0.99;N;M
2;13;SLD;Niewęgłowski Kazimierz;171;0.08;0.85;N;M
2;14;SLD;Tworzydło Bernadeta Monika;109;0.05;0.54;N;K
2;15;SLD;Kubaś Robert Waldemar;122;0.05;0.60;N;M
2;16;SLD;Szopian Elżbieta Antonina;454;0.20;2.25;N;K
2;1;PSL;Niebieszczański Ryszard Wiktor;5332;2.36;38.55;N;M
2;2;PSL;Kurzawa Jarosław;1281;0.57;9.26;N;M
2;3;PSL;Cal Grażyna Joanna;1058;0.47;7.65;N;K
2;4;PSL;Zibrow Andrzej;565;0.25;4.08;N;M
2;5;PSL;Wiszniewska Elżbieta;620;0.27;4.48;N;K
2;6;PSL;Węgrzyn Andrzej Waldemar;261;0.12;1.89;N;M
2;7;PSL;Mesjasz Joanna;311;0.14;2.25;N;K
2;8;PSL;Nowak Ryszard Mieczysław;1395;0.62;10.09;N;M
2;9;PSL;Korzewicz Monika;203;0.09;1.47;N;K
2;10;PSL;Łuciów Marek Jerzy;260;0.12;1.88;N;M
2;11;PSL;Siemczonek Barbara Łucja;319;0.14;2.31;N;K
2;12;PSL;Piela Sylwia;278;0.12;2.01;N;K
2;13;PSL;Longawa Stanisław Tadeusz;500;0.22;3.61;N;M
2;14;PSL;Kowalczyk Zenon Jacek;308;0.14;2.23;N;M
2;15;PSL;Marchlewski Grzegorz Ryszard;240;0.11;1.74;N;M
2;16;PSL;Jaworska Dorota Adriana;901;0.40;6.51;N;K
2;1;PO;Mrzygłocka Izabela Katarzyna;31697;14.05;30.96;T;K
2;2;PO;Szulc Jakub Maciej;17230;7.64;16.83;T;M
2;3;PO;Smolarz Tomasz;9893;4.39;9.66;T;M
2;4;PO;Wielichowska Monika;10589;4.70;10.34;T;K
2;5;PO;Jagła Robert Aleksander;4376;1.94;4.27;N;M
2;6;PO;Organiściak Jerzy;4027;1.79;3.93;N;M
2;7;PO;Kołacz-Leszczyńska Agnieszka Maria;6762;3.00;6.61;T;K
2;8;PO;Gromadzka Dorota;2086;0.92;2.04;N;K
2;9;PO;Świło Teresa;4431;1.96;4.33;N;K
2;10;PO;Szczygieł Zbigniew;2872;1.27;2.81;N;M
2;11;PO;Adamska Jadwiga Monika;1416;0.63;1.38;N;K
2;12;PO;Linard-Krawczyńska Malwina Małgorzata;772;0.34;0.75;N;K
2;13;PO;Konieczna-Enözel Dorota;1056;0.47;1.03;N;K
2;14;PO;Rudzińska Grażyna Maria;945;0.42;0.92;N;K
2;15;PO;Prostak Paweł Władysław;989;0.44;0.97;N;M
2;16;PO;Piotrowicz Zbigniew;3227;1.43;3.15;N;M
3;1;PiS;Jackiewicz Dawid Bohdan;26648;5.37;20.93;T;M
3;2;PiS;Ujazdowski Kazimierz Michał;26221;5.28;20.60;T;M
3;3;PiS;Hreniak Paweł Marek;2618;0.53;2.06;N;M
3;4;PiS;Stachowiak-Różecka Mirosława Agnieszka;2952;0.59;2.32;N;K
3;5;PiS;Świat Jacek;14904;3.00;11.71;T;M
3;6;PiS;Babiarz Piotr Łukasz;3575;0.72;2.81;N;M
3;7;PiS;Jaroch Andrzej Stanisław;2775;0.56;2.18;N;M
3;8;PiS;Krysowata-Zielnica Jolanta;3318;0.67;2.61;N;K
3;9;PiS;Ciołek Łukasz Tadeusz;986;0.20;0.77;N;M
3;10;PiS;Włodarczyk Urszula Ewa;1624;0.33;1.28;N;K
3;11;PiS;Kowalczyk Roman;1259;0.25;0.99;N;M
3;12;PiS;Węgrzynowicz Sławomir Andrzej;791;0.16;0.62;N;M
3;13;PiS;Kociński Wojciech Eugeniusz;1779;0.36;1.40;N;M
3;14;PiS;Jędrysek Mariusz Orion;22381;4.51;17.58;T;M
3;15;PiS;Kulig Alojzy Józef;924;0.19;0.73;N;M
3;16;PiS;Pieńkowski Robert;517;0.10;0.41;N;M
3;17;PiS;Bednarz Danuta Stanisława;989;0.20;0.78;N;K
3;18;PiS;Kowańdy Agnieszka Ewa;280;0.06;0.22;N;K
3;19;PiS;Tarczyńska Natalia Jolanta;1099;0.22;0.86;N;K
3;20;PiS;Strączek Kamila Anna;617;0.12;0.48;N;K
3;21;PiS;Kowalczyk Kamil Łukasz;839;0.17;0.66;N;M
3;22;PiS;Popławska Renata;1287;0.26;1.01;N;K
3;23;PiS;Zawodniak-Węgrzynowska Krystyna Adela;754;0.15;0.59;N;K
3;24;PiS;Capik Marian;234;0.05;0.18;N;M
3;25;PiS;Jach-Kobielska Barbara Irena;468;0.09;0.37;N;K
3;26;PiS;Polański Artur Maciej;661;0.13;0.52;N;M
3;27;PiS;Sokołowski Mariusz Dariusz;589;0.12;0.46;N;M
3;28;PiS;Czarnecki Przemysław Maksymilian;6222;1.25;4.89;N;M
3;1;SLD;Krasoń Janusz Mirosław;9609;1.94;35.92;N;M
3;2;SLD;Trela Helena;2942;0.59;11.00;N;K
3;3;SLD;Syska Michał Jan;2417;0.49;9.03;N;M
3;4;SLD;Czajkowski Tomasz Robert;767;0.15;2.87;N;M
3;5;SLD;Kruk-Gręziak Joanna Elżbieta;915;0.18;3.42;N;K
3;6;SLD;Bernacki Henryk;869;0.18;3.25;N;M
3;7;SLD;Morka Stefan;788;0.16;2.95;N;M
3;8;SLD;Gulczyński Artur Cezary;816;0.16;3.05;N;M
3;9;SLD;Wicha Stanisław;686;0.14;2.56;N;M
3;10;SLD;Fitek Jerzy Andrzej;412;0.08;1.54;N;M
3;11;SLD;Tabisz Bożena;558;0.11;2.09;N;K
3;12;SLD;Damrath Jagoda Halina;206;0.04;0.77;N;K
3;13;SLD;Zbroiński Roman;279;0.06;1.04;N;M
3;14;SLD;Noga Beniamin;444;0.09;1.66;N;M
3;15;SLD;Borowik Małgorzata Stanisława;247;0.05;0.92;N;K
3;16;SLD;Grześkowicz Łukasz Paweł;194;0.04;0.73;N;M
3;17;SLD;Syguła Bronisław Mateusz;415;0.08;1.55;N;M
3;18;SLD;Padiasek Aleksandra;127;0.03;0.47;N;K
3;19;SLD;Żak Przemysław Paweł;272;0.05;1.02;N;M
3;20;SLD;Szafrańska-Nienart Anna;346;0.07;1.29;N;K
3;21;SLD;Wroński Patryk Marek;265;0.05;0.99;N;M
3;22;SLD;Włodarczyk Iwona Elżbieta;496;0.10;1.85;N;K
3;23;SLD;Klewin Maria Barbara;135;0.03;0.50;N;K
3;24;SLD;Milian Jarosław Michał;196;0.04;0.73;N;M
3;25;SLD;Śmiałek Danuta Maria;440;0.09;1.64;N;K
3;26;SLD;Mirowski Dawid Jan;146;0.03;0.55;N;M
3;27;SLD;Kłosowski Dominik;402;0.08;1.50;N;M
3;28;SLD;Lewandowska Alicja Mariola;1365;0.27;5.10;N;K
3;1;PSL;Mańkowska Ewa Maria;5773;1.16;26.31;N;K
3;2;PSL;Chlebosz Włodzimierz Stanisław;1225;0.25;5.58;N;M
3;3;PSL;Antoniszyn-Klik Ilona Galia;833;0.17;3.80;N;K
3;4;PSL;Kubacki Rafał Andrzej;1953;0.39;8.90;N;M
3;5;PSL;Lech Lesław;424;0.09;1.93;N;M
3;6;PSL;Szczerba Barbara;1575;0.32;7.18;N;K
3;7;PSL;Hurkot Jan;1058;0.21;4.82;N;M
3;8;PSL;Konopka Mariusz Edward;1224;0.25;5.58;N;M
3;9;PSL;Szawan Andrzej;457;0.09;2.08;N;M
3;10;PSL;Kuryś Hieronim Stanisław;896;0.18;4.08;N;M
3;11;PSL;Wiraszka Joanna;307;0.06;1.40;N;K
3;12;PSL;Drapiewski Andrzej;148;0.03;0.67;N;M
3;13;PSL;Swadek-Schneider Dorota;360;0.07;1.64;N;K
3;14;PSL;Rzepkowski Mirosław Tadeusz;224;0.05;1.02;N;M
3;15;PSL;Chrzan Eugeniusz;540;0.11;2.46;N;M
3;16;PSL;Olkiewicz Teresa Stanisława;362;0.07;1.65;N;K
3;17;PSL;Szlachetka Robert;535;0.11;2.44;N;M
3;18;PSL;Pilawka Tomasz;927;0.19;4.22;N;M
3;19;PSL;Szylle Dariusz Władysław;27;0.01;0.12;N;M
3;20;PSL;Bronowicka Joanna Barbara;719;0.14;3.28;N;K
3;21;PSL;Kustroń Leszek;111;0.02;0.51;N;M
3;22;PSL;Stachorzecka Maria Helena;118;0.02;0.54;N;K
3;23;PSL;Sabat Alicja;335;0.07;1.53;N;K
3;24;PSL;Trębacz Michał;382;0.08;1.74;N;M
3;25;PSL;Szałankiewicz Krzysztof;309;0.06;1.41;N;M
3;26;PSL;Mróz-Możdżonek Joanna Róża;233;0.05;1.06;N;K
3;27;PSL;Turowski Ryszard Leon;891;0.18;4.06;N;M
3;1;PO;Zdrojewski Bogdan Andrzej;149962;30.20;59.78;T;M
3;2;PO;Wolak Ewa Wanda;11554;2.33;4.61;T;K
3;3;PO;Piechota Sławomir Jan;11750;2.37;4.68;T;M
3;4;PO;Młyńczak Aldona Janina;4855;0.98;1.94;N;K
3;5;PO;Charłampowicz Jarosław;8399;1.69;3.35;T;M
3;6;PO;Sidorowicz Władysław;3279;0.66;1.31;N;M
3;7;PO;Huskowski Stanisław Tadeusz;7164;1.44;2.86;T;M
3;8;PO;Jaroń Lilla Urszula;3336;0.67;1.33;N;K
3;9;PO;Łapiński Marek;6357;1.28;2.53;T;M
3;10;PO;Jaros Michał;9635;1.94;3.84;T;M
3;11;PO;Raba Norbert Łukasz;3364;0.68;1.34;N;M
3;12;PO;Pytlarz Grzegorz Piotr;248;0.05;0.10;N;M
3;13;PO;Kaczor Roman Bronisław;5302;1.07;2.11;T;M
3;14;PO;Wołowicz Piotr Tomasz;1662;0.33;0.66;N;M
3;15;PO;Granowska Renata Małgorzata;4257;0.86;1.70;N;K
3;16;PO;Burdzy Sebastian Robert;1073;0.22;0.43;N;M
3;17;PO;Engel Małgorzata Elżbieta;1562;0.31;0.62;N;K
3;18;PO;Sierpiński Cezary Maksymilian;1906;0.38;0.76;N;M
3;19;PO;Zalewski Marek Krzysztof;818;0.16;0.33;N;M
3;20;PO;Wróbel Anna Magdalena;1690;0.34;0.67;N;K
3;21;PO;Machiński Dariusz;984;0.20;0.39;N;M
3;22;PO;Efinowicz Wioletta Jadwiga;1585;0.32;0.63;N;K
3;23;PO;Dzierzgowska-Herman Dobrosława Maria;306;0.06;0.12;N;K
3;24;PO;Jędrzejewska Krystyna Bożena;790;0.16;0.31;N;K
3;25;PO;Trybuła-Kiernicka Ewa Iwona;790;0.16;0.31;N;K
3;26;PO;Dziwińska-Karaba Bożena;628;0.13;0.25;N;K
3;27;PO;Wróblewska Krystyna Eliza;1514;0.30;0.60;N;K
3;28;PO;Zieliński Maciej Jerzy;6099;1.23;2.43;T;M
4;1;PiS;Złotowski Kosma Tadeusz;21607;5.88;26.80;T;K
4;2;PiS;Latos Tomasz Edward;20308;5.52;25.19;T;M
4;3;PiS;Kownacki Bartosz Józef;7735;2.10;9.59;T;M
4;4;PiS;Żuraw Magdalena Kamila;2261;0.62;2.80;N;K
4;5;PiS;Król Piotr Marek;5797;1.58;7.19;N;M
4;6;PiS;Kiełpiński Marek Jan;1428;0.39;1.77;N;M
4;7;PiS;Warda Maria Alina;2464;0.67;3.06;N;K
4;8;PiS;Gawęda Jerzy Marek;1246;0.34;1.55;N;M
4;9;PiS;Tarczewski Jacek Andrzej;1382;0.38;1.71;N;M
4;10;PiS;Witkowski Marek Leon;1971;0.54;2.44;N;M
4;11;PiS;Pilarska Danuta Stanisława;1517;0.41;1.88;N;K
4;12;PiS;Sowińska Grażyna Maria;753;0.20;0.93;N;K
4;13;PiS;Kowalik Jerzy;1765;0.48;2.19;N;M
4;14;PiS;Jagiełłowicz Magdalena Wanda;658;0.18;0.82;N;K
4;15;PiS;Mrugalska Krystyna;686;0.19;0.85;N;K
4;16;PiS;Rega Tomasz Jan;1134;0.31;1.41;N;M
4;17;PiS;Szabelska Grażyna Edyta;526;0.14;0.65;N;K
4;18;PiS;Konwiński Janusz Andrzej;389;0.11;0.48;N;M
4;19;PiS;Pastuszewski Stefan Marian;1382;0.38;1.71;N;M
4;20;PiS;Szymańska Anna-Maria;1580;0.43;1.96;N;K
4;21;PiS;Wiszniewska Renata Urszula;1008;0.27;1.25;N;K
4;22;PiS;Walenciak Mariusz;1637;0.45;2.03;N;M
4;23;PiS;Nycek Łukasz;362;0.10;0.45;N;M
4;24;PiS;Młodzikowski Sławomir Krzysztof;1036;0.28;1.28;N;M
4;1;SLD;Bańkowska Anna Danuta;16203;4.41;42.64;T;K
4;2;SLD;Chojnacki Łukasz Karol;2324;0.63;6.12;N;M
4;3;SLD;Gawron-Fiedorow Krystyna Danuta;2373;0.65;6.24;N;K
4;4;SLD;Jaszczuk Zbigniew;2497;0.68;6.57;N;M
4;5;SLD;Grugel Zbigniew Józef;1905;0.52;5.01;N;M
4;6;SLD;Molus Marta Hanna;1260;0.34;3.32;N;K
4;7;SLD;Krzesiński Tomasz;650;0.18;1.71;N;M
4;8;SLD;Ludwisiak-Kawecka Anna Magdalena;413;0.11;1.09;N;K
4;9;SLD;Rucińska Małgorzata Maria;632;0.17;1.66;N;K
4;10;SLD;Feldheim Helena Zofia;696;0.19;1.83;N;K
4;11;SLD;Gackowska Wanda;502;0.14;1.32;N;K
4;12;SLD;Janeczek Stefan;579;0.16;1.52;N;M
4;13;SLD;Makowski Maciej Sławomir;935;0.25;2.46;N;M
4;14;SLD;Domański Jerzy Stanisław;467;0.13;1.23;N;M
4;15;SLD;Błaszak Zdzisław Tomasz;246;0.07;0.65;N;M
4;16;SLD;Pogodziński Ignacy Ryszard;1319;0.36;3.47;N;M
4;17;SLD;Kobiera Krzysztof Lech;296;0.08;0.78;N;M
4;18;SLD;Marcinkowska Magdalena Maria;457;0.12;1.20;N;K
4;19;SLD;Dulińska Agnieszka;461;0.13;1.21;N;K
4;20;SLD;Murawski Piotr Zbigniew;370;0.10;0.97;N;M
4;21;SLD;Czyż Emilia;494;0.13;1.30;N;K
4;22;SLD;Sucharska Dorota;414;0.11;1.09;N;K
4;23;SLD;Arent Wiesława Teresa;292;0.08;0.77;N;K
4;24;SLD;Lewandowski Lech Stanisław;2216;0.60;5.83;N;M
4;1;PSL;Kłopotek Eugeniusz;13287;3.61;43.55;T;M
4;2;PSL;Mes Ewa Monika;3222;0.88;10.56;N;K
4;3;PSL;Kozłowska Zofia Władysława;2235;0.61;7.33;N;K
4;4;PSL;Zaborowski Tadeusz;1200;0.33;3.93;N;M
4;5;PSL;Majewski Tadeusz Jan;1347;0.37;4.42;N;M
4;6;PSL;Woźniak Dariusz Robert;1473;0.40;4.83;N;M
4;7;PSL;Repulak Dorota Maria;491;0.13;1.61;N;K
4;8;PSL;Stroiński Leszek Stanisław;437;0.12;1.43;N;M
4;9;PSL;Ankiewicz-Jasińska Ewa Teresa;240;0.07;0.79;N;K
4;10;PSL;Miłowski Tomasz Edmund;485;0.13;1.59;N;M
4;11;PSL;Bielińska Halina Józefa;257;0.07;0.84;N;K
4;12;PSL;Przybył Marlena Ewa;247;0.07;0.81;N;K
4;13;PSL;Bury Barbara;343;0.09;1.12;N;K
4;14;PSL;Gadacz Edyta;302;0.08;0.99;N;K
4;15;PSL;Prochownik Wiesława Stanisława;114;0.03;0.37;N;K
4;16;PSL;Jankiewicz Iwona Maria;115;0.03;0.38;N;K
4;17;PSL;Drewczyński Grzegorz;193;0.05;0.63;N;M
4;18;PSL;Gajewicz Maciej Rafał;403;0.11;1.32;N;M
4;19;PSL;Ludwikowski Michał;133;0.04;0.44;N;M
4;20;PSL;Kawka Ryszard Stanisław;556;0.15;1.82;N;M
4;21;PSL;Borkowska Anna;812;0.22;2.66;N;K
4;22;PSL;Krasicki Adam Henryk;353;0.10;1.16;N;M
4;23;PSL;Ornowski Alojzy;162;0.04;0.53;N;M
4;24;PSL;Kurzawa Dariusz;2102;0.57;6.89;N;M
4;1;PO;Sikorski Radosław Tomasz;91720;24.95;57.71;T;M
4;2;PO;Piotrowska Teresa;10009;2.72;6.30;T;K
4;3;PO;Olszewski Paweł Bartosz;9257;2.52;5.82;T;M
4;4;PO;Katulski Jarosław Paweł;5872;1.60;3.69;T;M
4;5;PO;Kozłowska Iwona Maria;4668;1.27;2.94;T;K
4;6;PO;Roszak Grzegorz Michał;2625;0.71;1.65;N;M
4;7;PO;Brejza Krzysztof;12600;3.43;7.93;T;M
4;8;PO;Nowakowska Aleksandra Bogumiła;4501;1.22;2.83;N;K
4;9;PO;Ciemniak Grażyna Jolanta;4590;1.25;2.89;N;K
4;10;PO;Drzazgowski Józef;1415;0.38;0.89;N;M
4;11;PO;Balbuza-Walkowska Lucyna Elżbieta;717;0.20;0.45;N;K
4;12;PO;Hardyk Tomasz Paweł;296;0.08;0.19;N;M
4;13;PO;Eliasz Józef Henryk;1513;0.41;0.95;N;M
4;14;PO;Janowska-Giłka Halina Maria;486;0.13;0.31;N;K
4;15;PO;Macura Angelika Bożena;808;0.22;0.51;N;K
4;16;PO;Błoński Krzysztof Jan;350;0.10;0.22;N;M
4;17;PO;Wasilewski Andrzej Mieczysław;356;0.10;0.22;N;M
4;18;PO;Szeliga Agnieszka;2003;0.54;1.26;N;K
4;19;PO;Marzec Maciej Jan;554;0.15;0.35;N;M
4;20;PO;Biernacki Marek;680;0.18;0.43;N;M
4;21;PO;Grabarkiewicz Natalia;846;0.23;0.53;N;K
4;22;PO;Drzycimska Jadwiga;626;0.17;0.39;N;K
4;23;PO;Sławeta Alina Izabela;586;0.16;0.37;N;K
4;24;PO;Grobelski Ryszard Zdzisław;1860;0.51;1.17;N;M
5;1;PiS;Ardanowski Jan Krzysztof;14841;4.22;16.30;T;M
5;2;PiS;Zbonikowski Łukasz;17327;4.93;19.03;T;M
5;3;PiS;Girzyński Zbigniew;24907;7.08;27.36;T;M
5;4;PiS;Drab Marzenna Stefania;4782;1.36;5.25;N;K
5;5;PiS;Przybylski Przemysław Tomasz;5844;1.66;6.42;N;M
5;6;PiS;Meller Dariusz Henryk;1599;0.45;1.76;N;M
5;7;PiS;Sobecka Anna Elżbieta;6990;1.99;7.68;T;K
5;8;PiS;Turska Maria Teresa;897;0.26;0.99;N;K
5;9;PiS;Stańko Małgorzata;1155;0.33;1.27;N;K
5;10;PiS;Sochacki Jarosław;1067;0.30;1.17;N;M
5;11;PiS;Konieczna Barbara Krystyna;1015;0.29;1.11;N;K
5;12;PiS;Kończyńska Ewa Maria;1015;0.29;1.11;N;K
5;13;PiS;Tyburski Jacek Aleksander;634;0.18;0.70;N;M
5;14;PiS;Nadolski Jerzy Marian;490;0.14;0.54;N;M
5;15;PiS;Litwin Grażyna Krystyna;589;0.17;0.65;N;K
5;16;PiS;Trawiński Marek Piotr;1060;0.30;1.16;N;M
5;17;PiS;Grzegórski Konstanty Antoni;788;0.22;0.87;N;M
5;18;PiS;Maniewska Elżbieta;434;0.12;0.48;N;K
5;19;PiS;Czyżykowski Andrzej;235;0.07;0.26;N;M
5;20;PiS;Szymański Sławomir Andrzej;1423;0.40;1.56;N;M
5;21;PiS;Jaranowski Wojciech;836;0.24;0.92;N;M
